,Unnamed: 0,Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Filename,Max Speed,Average Speed,Calories,Recovery,With Pet,Competition,Long Run,For a Cause,data_ano,data_mes,dia_semana,tempo_min
0,0,3763864420,"Jul 14, 2020, 10:36:55 PM",Corrida no CavoucÃÂ£o,Run,,3378,6.32,,activities/4021635014.gpx.gz,5.8,1.94,637.0,,,,,,2020,7,Terca,56.3
1,1,3785578121,"Jul 15, 2020, 11:44:01 PM",Funcional,Workout,,1785,0.0,151.0,activities/4045907087.gpx.gz,0.0,0.0,,,,,,,2020,7,Quarta,29.75
2,2,3785578976,"Jul 17, 2020, 9:39:24 PM",Funcional,Workout,,1808,0.0,166.0,activities/4045908038.gpx.gz,0.0,0.0,,,,,,,2020,7,Sexta,30.133333333333333
3,3,3787254231,"Jul 19, 2020, 4:08:30 PM",Corrida,Walk,Cavouco,3178,5.64,188.0,activities/4047748524.gpx.gz,8.9,1.852,520.0,,,,,,2020,7,Domingo,52.96666666666667
4,4,3787367551,"Jul 11, 2020, 10:10:58 PM",Corrida,Run,,3767,7.0,183.0,activities/4047875950.tcx.gz,7.3,1.888,943.0,,,,,,2020,7,Sabado,62.78333333333333
5,5,3787376822,"Jul 10, 2020, 10:23:48 PM",Funcional,Workout,,3648,0.34,171.0,activities/4047886130.tcx.gz,8.6,0.094,550.0,,,,,,2020,7,Sexta,60.8
6,6,3787407219,"Jul 8, 2020, 10:38:54 PM",Funcional,Workout,,4104,0.04,136.0,activities/4047919856.tcx.gz,8.6,0.01,481.0,,,,,,2020,7,Quarta,68.4
7,7,3787416280,"Jul 7, 2020, 10:37:45 PM",Corrida,Run,,4064,6.75,188.0,activities/4047930124.tcx.gz,3.1,2.004,952.0,,,,,,2020,7,Terca,67.73333333333333
8,8,3787425947,"Jul 3, 2020, 11:14:50 PM",Funcional,Workout,,4240,0.31,157.0,activities/4047940792.tcx.gz,9.6,0.075,639.0,,,,,,2020,7,Sexta,70.66666666666667
9,9,3787435472,"Jul 1, 2020, 10:55:00 PM",Funcional,Workout,,3135,0.28,144.0,activities/4047951523.tcx.gz,0.0,0.092,420.0,,,,,,2020,7,Quarta,52.25
10,10,3787442152,"Jun 29, 2020, 10:34:00 PM",Funcional,Workout,,2936,0.33,148.0,activities/4047959113.tcx.gz,0.0,0.115,441.0,,,,,,2020,6,Segunda,48.93333333333333
11,11,3787449134,"Jun 25, 2020, 8:25:42 PM",Corrida,Run,,2748,2.5,183.0,activities/4047967243.tcx.gz,2.9,1.512,632.0,,,,,,2020,6,Quinta,45.8
12,12,3787451685,"Jun 20, 2020, 9:33:58 PM",Corrida,Run,,3782,6.87,193.0,activities/4047970063.tcx.gz,2.7,1.841,947.0,,,,,,2020,6,Sabado,63.03333333333333
13,13,3787457310,"Jun 19, 2020, 10:40:00 PM",Funcional,Workout,,6296,0.68,171.0,activities/4047976518.tcx.gz,7.6,0.108,842.0,,,,,,2020,6,Sexta,104.93333333333334
14,14,3787464688,"Jun 18, 2020, 10:04:38 PM",Funcional,Workout,,3557,0.34,158.0,activities/4047984934.tcx.gz,8.6,0.098,477.0,,,,,,2020,6,Quinta,59.28333333333333
15,15,3787473079,"Jun 16, 2020, 9:49:22 PM",Corrida,Run,,2297,5.02,188.0,activities/4047994256.tcx.gz,3.0,2.19,613.0,,,,,,2020,6,Terca,38.28333333333333
16,16,3787518871,"Jun 13, 2020, 9:11:39 PM",Corrida,Run,,3081,5.83,189.0,activities/4048046311.tcx.gz,3.5,1.902,874.0,,,,,,2020,6,Sabado,51.35
17,17,3787546075,"Jun 15, 2020, 9:33:00 PM",Funcional,Workout,,4716,0.49,164.0,activities/4048076477.tcx.gz,5.5,0.104,709.0,,,,,,2020,6,Segunda,78.6
18,18,3787547676,"Jun 12, 2020, 9:41:21 PM",Corrida,Run,,4570,7.81,188.0,activities/4048078635.tcx.gz,6.3,1.784,1152.0,,,,,,2020,6,Sexta,76.16666666666667
19,19,3787551351,"Jun 9, 2020, 10:01:02 PM",Corrida,Run,,3021,5.41,181.0,activities/4048082974.tcx.gz,3.0,1.868,707.0,,,,,,2020,6,Terca,50.35
20,20,3787558048,"Jun 10, 2020, 11:48:19 PM",Funcional,Workout,,2589,0.06,154.0,activities/4048090587.tcx.gz,4.6,0.025,347.0,,,,,,2020,6,Quarta,43.15
21,21,3787559304,"Jun 6, 2020, 10:19:47 PM",Funcional,Workout,,3557,0.41,157.0,activities/4048092195.tcx.gz,9.4,0.115,594.0,,,,,,2020,6,Sabado,59.28333333333333
22,22,3787563212,"Jun 5, 2020, 10:53:00 PM",Funcional,Workout,,2925,0.03,157.0,activities/4048096629.tcx.gz,2.8,0.012,392.0,,,,,,2020,6,Sexta,48.75
23,23,3787569364,"Jun 3, 2020, 11:02:00 PM",Funcional,Workout,,3891,0.13,141.0,activities/4048103610.tcx.gz,9.2,0.035,521.0,,,,,,2020,6,Quarta,64.85
24,24,3787572592,"May 31, 2020, 2:36:47 PM",Corrida,Run,,4528,7.14,184.0,activities/4048107193.tcx.gz,6.4,1.717,982.0,,,,,,2020,5,Domingo,75.46666666666667
25,25,3787575323,"Jun 1, 2020, 10:38:00 PM",Funcional,Workout,,5504,0.97,171.0,activities/4048110089.tcx.gz,9.0,0.178,920.0,,,,,,2020,6,Segunda,91.73333333333332
26,26,3787590991,"May 29, 2020, 9:46:44 PM",Funcional,Workout,,3730,0.3,139.0,activities/4048127899.tcx.gz,8.0,0.082,438.0,,,,,,2020,5,Sexta,62.16666666666666
27,27,3787600597,"May 28, 2020, 9:20:35 PM",Corrida,Run,,3200,6.34,193.0,activities/4048138807.tcx.gz,3.3,1.996,907.0,,,,,,2020,5,Quinta,53.333333333333336
28,28,3787611829,"May 26, 2020, 9:28:39 PM",Corrida,Run,,2125,3.81,185.0,activities/4048151451.tcx.gz,2.5,1.882,556.0,,,,,,2020,5,Terca,35.416666666666664
29,29,3787625806,"May 21, 2020, 10:02:33 PM",Corrida,Run,,3172,5.19,186.0,activities/4048167219.tcx.gz,12.8,1.774,796.0,,,,,,2020,5,Quinta,52.86666666666667
